url,product_name,price,description,error
https://www.tesco.com/groceries/en-GB/products/291301907,L'oreal Paris Wrinkle Expert 55+ Calcium Day Cream 50Ml,5.0,L'oreal Paris Wrinkle Expert 55+ Calcium Day Cream 50Ml,
https://www.tesco.com/groceries/en-GB/products/311215904,L'Oreal Paris Excellence Cool 7.11 Ultra Ash Blonde,10.0,L'OREAL PARIS EXCEL COOL ULTRA ASH BLONDE ,
https://www.tesco.com/groceries/en-GB/products/310162011,,,,No Product data found in the response
https://www.tesco.com/groceries/en-GB/products/250037833,L'Oreal Paris Excellence Creme 5.3 Natural Golden Brown Permanent Hair Dye,10.0,L'Oreal Paris Excellence Creme 5.3 Natural Golden Brown Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/251041590,L'Oreal Paris Excellence Creme 5.5 Natural Mahogany Brown Permanent Hair Dye,10.0,L'Oreal Paris Excellence Creme 5.5 Natural Mahogany Brown Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/311426879,L'Oreal Paris Preference Cool Blondes 7.1 Iceland Permanent Hair Dye,12.0,L'OREAL PARIS PREFERENCE COOL BLONDES ICELAND ,
https://www.tesco.com/groceries/en-GB/products/291302342,L'oreal Paris Wrinkle Expert 45+ Day Cream 50Ml,5.0,L'oreal Paris Wrinkle Expert 45+ Day Cream 50Ml,
https://www.tesco.com/groceries/en-GB/products/305252183,L'oreal Paris Wrinkle Expert 65+ Day Cream 50Ml,5.0,L'oreal Paris Wrinkle Expert 65+ Day Cream 50Ml,
https://www.tesco.com/groceries/en-GB/products/314430759,L'Oreal Paris Casting Natural Gloss 823 Latte Light Blonde Semi-Permanent Hair Dye,11.0,L'Oreal Paris Casting Natural Gloss 823 Latte Light Blonde Semi-Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/293465208,L'Oreal Paris Preference 9.1 Oslo Viking Light Ash Blonde Permanent Hair Dye,12.0,L'Oreal Paris Preference 9.1 Oslo Viking Light Ash Blonde Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/266381929,L'Oreal Paris Casting Creme Gloss 515 Chocolate Truffle Brown Semi-Permanent Hair Dye,10.0,"L'Oreal Paris Casting Creme Gloss 515 Chocolate Truffle Brown Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",
https://www.tesco.com/groceries/en-GB/products/313945630,L'Oreal Paris Excellence Nudes Universal 10U Lightest Blonde Permanent Hair Dye,11.0,L'Or Excl Nudes 10U Ltst Blonde Prmt Hair Dye ,
https://www.tesco.com/groceries/en-GB/products/311449126,L'Oreal Paris Excellence Universal Nudes 9U Very Light Blonde Permanent Hair Dye,11.0,L'Or Paris Excl Universal Nudes 9U Very Lght Bld ,
https://www.tesco.com/groceries/en-GB/products/291300776,L'oreal Paris Age Perfect Golden Age Rosy Day Cream 50Ml,20.0,L'oreal Paris Age Perfect Golden Age Rosy Day Cream 50Ml,
https://www.tesco.com/groceries/en-GB/products/299154008,L’Oreal Men Expert Barberclub Beard Oil 30Ml,8.25,L’Oreal Men Expert Barberclub Beard Oil 30Ml,
https://www.tesco.com/groceries/en-GB/products/303675519,L’Oreal Men Expert Charcoal Face Wash 100Ml,4.5,L’Oreal Men Expert Charcoal Face Wash 100Ml,
